,sentence,entities
219,"This lake is a closed system about 150 m in diameter, 12 m deep, and located at 180 m elevation at 4 ° 04 ∞ N, 70 ° 13 ∞ W. (2) The record of Laguna Carimagua, today > 50 % surrounded by grass savanna and with some patches of forest of several hectares reaching the border of the lake, shows 3050 % arboreal pollen .","(4 ° 04 ∞ N, 70 ° 13 ∞, Laguna Carimagua)"
220,"This lake is a closed system about 3 km long and 1.5 km wide, 0.8 m deep, and located at 180 m elevation at 4 ° 04 ∞ N, 70 ° 14 ∞ W. (3) The record of Laguna Sardinas, today surrounded by a narrow zone of open palm forest (morichal) and shrub up to some 50100 m distance from the border of the lake, shows 6065 % arboreal pollen .","(4 ° 04 ∞ N, 70 ° 14 ∞, Laguna Sardinas)"
221,"This lake is a closed system about 800 m in diameter, 1.1 m deep, and located at 80 m elevation at 4 ° 58 ∞ N, 69 ° 28 ∞ W. (4) The record of Laguna El Pin˜ al, surrounded by a ca. 50 m wide zone with sparsely distributed Mauritia palms, and in fact almost completely surrounded by open grass savanna, shows 715 % arboreal pollen .","(4 ° 58 ∞ N, 69 ° 28 ∞, Laguna El)"
222,"This lake is a closed system about 1200 m long and 300 m wide, 0.7 m deep, and located at 180 m elevation at 4 ° 08 ∞ N, 70 ° 23 ∞ W .","(4 ° 08 ∞ N, 70 ° 23 ∞,)"
223,"Hole-in-the-bog peatland (47 ° 18 ′ 00ʺ, 94 ° 14 ′ 57ʺ) (hereafterHole Bog)- is a basin-filled raised bog located in Cass County, Minnesota (Fig. 1) .","(94 ° 14 ′ 57ʺ, Cass County, Minnesota)"
224,"Minden Bog (46 ° 36 ′ 38ʺ, 82 ° 50 ′ 05ʺ) is a raised bog located in Sanilac County, R.K. Booth et alEarth and Planetary Science Letters 242 (2006) 415427 417 Fig. 1 .","(46 ° 36 ′ 38ʺ, 82 ° 50 ′ 05ʺ, Sanilac County)"
226,2000 Elsevier Science Ltd. .,"(2000 Elsevier Science Ltd.,)"
227,0277-3791/00see front matter 2000 Elsevier Science Ltd. .,"(2000 Elsevier Science Ltd.,)"
228,"For the peatlands in the region of Trout Lake (816) the range of average water-table depths are shown, based on monthly measurements during 2004 Site number and name Location Elevation n Range of DTW Range of DTW Range of highest PVC-tape (m) (2004) (cm) (2005) (cm) discolouration (cm) Range of pH Range of conductivity NORTH AMERICAN TESTATE AMOEBAE (1) Hole Bog, MN 478 18.000 N 17 À3 to 52 À8 to 45 À948 14.942 W 399 (2) Toivola Bog B, MN 468 59.167 N 7 0 to 62 À7 to 52 À928 53.305 W 384 (3) Toivola Bog A, MN 468 55.609 N 13 14 to 65 À1 to 54 À928 47.702 W 401 (4) Ely Bog, MN 478 26.766 N 12 12 to 72 À2 to 52 À928 26.156 W 423 (5) Hornet 468 4.593 N 15 À8 to 37 À7 to 40 Peatland, WI À928 7.212 W 289 (6) Small Sarracennia 468 4.555 N 10 À9 to 23 À11 to 26 Peatland, WI À928 6.902 W 291 (7) Spruce Peatland, WI 468 5.678 N 11 À4 to 64 À5 to 65 À928 6.723 W 287 (8) Trout Peatland H, WI 468 2.849 N 8 9 to 48.7 N/A À898 39.053 W 499 (9) Trout Peatland I, WI 468 2.806 N 10 8.2 to 34.7 N/A À898 38.903 W 500 (10) Trout Peatland G, WI 468 2.265 N 8 À0 .2 to 49.2 N/A À898 38.146 W 497 (11) Trout Peatland F, WI 468 1.325 N 8 13 to 37.5 N/A À898 37.956 W 504 (12) Trout Peatland E, WI 468 0.287 N 10 9.8 to 52.7 N/A À898 37.644 W 500 (13) Trout Peatland D, WI 458 59.712 N 15 2.5 to 44 N/A À898 36.828 W 506 (14) Trout Peatland C, WI 468 0.459 N 13 6.8 to 56.5 N/A À898 36.304 W 506 (15) Trout Peatland A, WI 468 0.214 N 11 4.2 to 39.2 N/A À898 35.624 W 514 (16) Trout Peatland B, WI 468 1.155 N 10 À1 .8 to 57.5 N/A À898 35.335 W 505 (17) Grimes Peatland, MI 468 16.537 N 10 À8 to 33 40 to 75 À868 38.985 W 258 (18) Island Camp Peatland, MI 468 16.295 N 10 À8 to 31 70 to 88 À868 38.842 W 261 (19) Upper Twin Peatland, MI 468 16.546 N 8 4 to 32 70 to 86 À868 38.848 W 264 (20) Small Red Pine Peatland, MI 468 14.866 N 4 7 to 39 75 to 82 À868 37.929 W 253 (21) Big Red Pine Peatland, MI 468 15.194 N 9 À2 to 54 13 to 99 0 to 52 0 to 44 3 to 57 0 to 55.5 À1 .5 to 40 À6 to 23.5 À2 .5 to 60.5 N/A N/A NA N/A N/A N/A N/A N/A N/A 4.4 to 33.0 3.5 to 38.5 8 to 37 3 to 32 1 to 52.5 (S) 3.56 to 3.87 (W) 3.83 to 3.96 (S) 3.55 to 4.02 (W) 3.88 to 4.02 (S) 3.4 to 3.82 (W) 3.73 to 3.91 (S) 3.43 to 4.07 (W) 4.03 to 4.29 (S) 3.61 to 4.18 (W) 3.92 to 4.27 (S) 3.79 to 4.41 (W) 4.05 to 4.41 (S) 3.42 to 4.08 (W) 3.88 to 4.05 (S) 3.63 to 4.41 (W) 3.57 to 4.25 (S) 3.5 to 3.89 (W) 3.9 to 4.20 (S) 3.38 to 3.87 (W) 3.7 to 4.06 (S) 3.48 to 3.85 (W) 3.71 to 3.87 (S) 3.59 to 3.74 (W) 3.87 to 4.08 (S) 3.47 to 4.10 (W) 3.52 to 4.36 (S) 3.45 to 3.67 (W) 3.73 to 4.43 (S) 3.53 to 4.43 (W) 3.89 to 4.36 (S) 3.44 to 4.07 (W) 3.68 to 4.69 (S) 3.66 to 4.06 (W) 3.95 to 4.50 (S) 3.69 to 4.23 (W) 3.75 to 4.23 (S) 3.74 to 4.03 (W) 3.76 to 4.20 (S) 3.83 to 3.95 (W) 3.68 to 3.94 (S) 3.72 to 4.09 (S) 74 to 184.4 (W) 64.4 to 183.5 (S) 85.2 to 197 (W) 70.1 to 86.1 (S) 130.6 to 230 (W) 77.2 to 105 (S) 102.7 to 226 (W) 43.6 to 69.8 (S) 46.3 to 193.7 (W) 46.3 to 85.3 (S) 22 to 83.5 (W) 22 to 64.6 (S) 52.9 to 253 (W) 52.9 to 100.5 (S) 42 to 138 (W) 41.1 to 61.6 (S) 117.8 to 192 (W) 62.8 to 107.8 (S) 110 to 209 (W) 75.2 to 113 (S) 146 to 222 (W) 70.5 to 129.4 (S) 120.6 to 223 (W) 60.3 to 133 (S) 109.1 to 305 (W) 24.4 to 262 (S) 146.6 to 262 (W) 58.4 to 135.2 (S) 125.3 to 232 (W) 69.2 to 180.1 (S) 58.6 to 253 (W) 35.1 to 100 (S) 46 to 143.3 (W) 46 to 88.3 (S) 35 to 126.7 (W) 35 to 80.8 (S) 67.3 to 149 (W) 40.4 to 69.4 (S) 37.1 to 82.4 (W) 73.4 to 90.7 (S) 46.4 to 105.4 (Continues) J. Quaternary SciVol .","(Trout Lake, Location Elevation, 45 À948 14.942, Peatland, Peatland)"
229,C.A. Holmgren et alQuaternary Research 75 (2011) 647657 649 ranges that stretches from southern California into Baja California and includes the Sierra Juárez and Sierra San Pedro Mártir (SSPM) .,"(alQuaternary Research 75 (, California, Baja, California)"
230,"650 C.A. Holmgren et alQuaternary Research 75 (2011) 647657 Summer precipitation, on the other hand, is the result of convective activity associated with the North American monsoon (Carleton, 1987 ; Cavazos and Hastenrath, 1990 ; Burnett, 1994 ; Adams and Comrie, 1997 ; Comrie and Glenn, 1998) .","(alQuaternary Research 75 (, Carleton, Cavazos, Hastenrath, Burnett, Glenn)"
231,"The average annual temperature at San Felipe is 19 ° C, with a range from 10.9 ° C in January to 30.1 ° C in July, and the average annual precipitation is 56 mm, with marginally more precipitation falling in summer (JAS) than in winter (DJF) .","(19 ° C, 10.9 ° C, 30.1 ° C)"
234,Midden designation Latitude -(N) Longitude Elevation Aspect 14C Age SD Lab code 2σ calibrated age range Calibrated age midpoint Material -(W) (m) (cal yr BP) (cal yr BP) dated Driftwood Canyon 648A Canada de los Burros 621 Canada de los Burros 614B Canada el Diablito 626 Canada de los Burros 614A Canada de los Burros 624 Canada el Diablito 625 Driftwood Canyon 943 Driftwood Canyon 631 Canada de los Burros 622 Canada de los Burros 623B Canada de los Burros 623A Canada el Diablito 601 Canada de los Burros 642 Driftwood Canyon 644C Canada de los Burros 610 Driftwood Canyon 646B Driftwood Canyon 630 Waterfall Canyon 970A Driftwood Canyon 628 Driftwood Canyon 644A Canada de los Burros 609 Driftwood Canyon 629B Driftwood Canyon 629A Driftwood Canyon 646C Waterfall Divide 951A Waterfall Divide 951C Canada el Diablito 643B Driftwood Canyon 971 Driftwood Canyon 950 Driftwood Canyon 959B Waterfall Canyon 963 Driftwood Canyon 972A Driftwood Canyon 985 Canada de los Burros 611 Driftwood Canyon 945B Driftwood Canyon 946 Driftwood Canyon 945C 30 ° 56.20 ′ 31 ° 08.54 ′ 31 ° 08.54 ′ 31 ° 03.50 ′ 31 ° 08.54 ′ 31 ° 08.43 ′ 31 ° 03.53 ′ 30 ° 56.49 ′ 30 ° 56.37 ′ 31 ° 08.56 ′ 31 ° 08.53 ′ 31 ° 08.53 ′ 31 ° 03.53 ′ 31 ° 08.44 ′ 30 ° 56.23 ′ 31 ° 08.54 ′ 30 ° 56.27 ′ 30 ° 56.19 ′ 30 ° 56.06 ′ 30 ° 56.27 ′ 30 ° 56.23 ′ 31 ° 08.67 ′ 30 ° 56.27 ′ 30 ° 56.27 ′ 30 ° 56.27 ′ 30 ° 56.12 ′ 30 ° 56.12 ′ 31 ° 03.50 ′ 30 ° 56.60 ′ 30 ° 56.35 ′ 30 ° 56.51 ′ 30 ° 56.57 ′ 30 ° 56.60 ′ 30 ° 56.51 ′ 31 ° 08.54 ′ 30 ° 56.49 ′ 30 ° 56.49 ′ 30 ° 56.49 ′ 115 ° 15.53 ′ 115 ° 25.57 ′ 115 ° 25.65 ′ 115 ° 21.39 ′ 115 ° 25.65 ′ 115 ° 25.60 ′ 115 ° 21.40 ′ 115 ° 15.45 ′ 115 ° 15.60 ′ 115 ° 25.73 ′ 115 ° 25.70 ′ 115 ° 25.70 ′ 115 ° 21.44 ′ 115 ° 25.62 ′ 115 ° 15.28 ′ 115 ° 25.69 ′ 115 ° 15.30 ′ 115 ° 15.33 ′ 115 ° 15.18 ′ 115 ° 15.25 ′ 115 ° 15.28 ′ 115 ° 25.67 ′ 115 ° 15.32 ′ 115 ° 15.32 ′ 115 ° 15.30 ′ 115 ° 15.13 ′ 115 ° 15.13 ′ 115 ° 21.41 ′ 115 ° 15.64 ′ 115 ° 15.61 ′ 115 ° 15.74 ′ 115 ° 15.16 ′ 115 ° 15.64 ′ 115 ° 15.50 ′ 115 ° 25.69 ′ 115 ° 15.45 ′ 115 ° 15.45 ′ 115 ° 15.45 ′ 692 709 729 893 729 733 893 689 647 740 754 754 899 718 692 707 673 790 650 722 692 666 680 680 673 648 648 870 745 758 ~ 700 705 745 720 690 689 689 689 N ENE WNW S WNW ENE N SSE N WNW ESE ESE ENE NE NW ESE NNW ENE NNE ENE NW NW ENE ENE NNW NE NE SSE SSE S S N SSE SSE NNW SSE SSE SSE 583 1450 1539 1644 1808 4030 4282 4320 4909 4942 5290 5314 5390 5627 5649 6577 6852 7480 7870 7970 8050 8700 8890 8960 9210 9730 9860 9880 10 100 10 210 11 650 11 740 12 330 19 410 21 660 22 750 26 180 28 590 30 AA51861 534650 34 AA54747 12981394 39 AA51845 13501523 37 AA51848 14161686 35 AA54746 16211857 52 AA54741 44114807 42 AA51849 47094968 51 AA51864 48275039 41 AA51863 55895721 42 AA54742 55935840 45 AA51844 59386189 42 AA54748 59506261 61 AA51847 60016291 46 AA51846 63086492 45 AA51851 63116532 46 AA54744 74257566 43 AA51865 76097787 56 AA51862 81868385 53 AA51841 85488976 52 AA51844 86488997 53 AA51853 87249120 68 AA54743 95379907 59 AA51850 976710195 55 AA51852 991310229 68 AA51859 10 553 60 AA51857 11 249 60 AA51840 11 598 60 AA51860 11 601 57 AA54734 11 976 58 AA54738 12 138 78 AA51842 13 691 67 AA54735 13 748 70 AA54737 14 714 120 AA54736 23 565 220 AA54745 26 690 180 AA51858 28 010 310 AA51843 31 224 340 AA54739 34 419 590 1345 1435 1550 1740 4610 4840 4930 5655 5715 6065 6105 6145 6400 6420 7495 7700 8285 8760 8825 8920 9720 9980 10 070 10 395 11 025 11 390 11 400 11 690 11 895 13 505 13 585 14 365 23 100 25 935 27 425 30 795 33 135 Prunus seed Prunus seed Acorn Quercus leaves Acorn Quercus leaves Quercus leaves Fabaceae leaves Quercus leaves Quercus leaves Acorn Quercus leaves Acorns Acorn Quercus leaves Acorn Quercus leaves Prosopis leaf Acorns Acorns Acorns Prunus seed Acorns Acorns Quercus leaves Quercus leaves Acorns Quercus leaves Acorns Acorns Pinus cone scale Acorns Acorns Acorns Acorn Juniperus stem Acorns Juniperus stem (Holmgren et al2010) was used to conﬁrm that the juniper fossils found within the middens are Juniperus californica .,"(Canada, Canada, Canada, Canada, Canada, Canada, Canada, Canada, Canada, Canada, Canada, Canada, Canada, Canada, 31 ° 03.53 ′ 30 ° 56.49 ′ 30, 31 °, 31 ° 08.53 ′ 31 ° 03.53, 31 ° 08.44 ′ 30 ° 56.23, 31 ° 08.54 ′ 30 ° 56.27, 30 ° 56.19 ′ 30 ° 56.06 ′ 30 ° 56.27, 31 ° 08.67 ′ 30 ° 56.27 ′ 30, 30 ° 56.60 ′ 30, 30 ° 56.51, 30 ° 56.57 ′ 30, 30 ° 56.49 ′ 30, 115 ° 15.53 ′ 115 ° 25.57, 115 ° 25.65, 115 ° 21.40 ′ 115 ° 15.45 ′ 115, 115 ° 25.62 ′ 115 ° 15.28, 115 ° 25.69, 115 ° 15.25, 115 ° 15.32 ′ 115 ° 15.32 ′ 115, 115 ° 15.61 ′ 115 ° 15.74 ′ 115 ° 15.16 ′ 115 ° 15.64 ′ 115 ° 15.50 ′, 115 ° 25.69, Acorn Quercus, Acorn Quercus)"
254,"Dates and analyses are pending, but this suggests that there were practically no areas of pure desert vegetation (i.ewithout conifers or chaparral elements) in Baja California north of 27 ° N during the late glacial period .","(Baja, California, 27 ° N)"
255,"(1983) 93, 311-350 3II CHRONOLOGY AND DYNAMICS OF VEGETATION CHANGE IN THE PRAIRIE-WOODLAND REGION OF SOUTHERN MINNESOTA, U.S.AERIC C. GRIMM Department of Ecology and Behavioral Biology, 107 Zoology, 318 Church St. S.EUniversity of Minnesota, Minneapolis, Minnesota 55455, U.S.A. and Limnological Research Center, 220 Pillsbury Hall, 310 Pillsbury Drive S.EUniversity of Minnesota, Minneapolis, Minnesota 55455, U.S.A. (Accepted 13 October 1982) SUMMARY The pollen and sediment stratigraphy of Woisfeld Lake and French Lake in the Big Woods of southern Minnesota was investigated .","(318 Church St., Minnesota, Minneapolis, Minnesota, Minneapolis, Woisfeld Lake, French Lake, Minnesota)"
256,"93 ° 34 ' W, lat .","(93 ° 34 ' W,)"
257,"44 ° 57 ' N ; NEJ, sec .","(44 ° 57 ' N,)"
258,"Stratigraphy of the sediment cores according to tke system of Troels-Smith (1955) Depth from sediment surface (cm) Sediment type 650-685 685-774 774-1070 1070-1084 1084-1320 1320-1390 Silty gyttja Silty gyttja Gyttja Silty gyttja Gyttja Siky gyttja 610-645 645-705 705-750 750-770 770-802 802-807 807-822 822-910 910-1030 1030-1160 Coarse detritus gyttja Coarse detritus gyttja Coarse detritus gyttja Coarse detritus gyttja Gyttja Marly gyttja MaHy gyttja Gyttja Gyttja Silt -RCBgyttja Detritus Limus Wolsfeld LakeLd ' 2, LcLd ' 2Ld3Ld ° 2LdnLd ° 2 French Lake Dhl Ld2, Lc + Dhl Ld2 Dhl Ld ° 2, Lc + Dhl Ld2 Dh + Ld3Ld2, LclLd ° 2, Lc2Ld3Ld3, LcLd2, Lc + Argilla Width of lower contact (cm) Ag2 .","(2LdnLd ° 2 French,)"
259,"Our study site (25 ° 21 ′ 10 ″ N, 81 ° 6 ′ 52 ″ W) is located on the edge of Ponce de Leon Bay, at the mouths of Whitewater Bay and Shark River Estuary (Fig. 1) .","(81 ° 6 ′ 52, Whitewater Bay, Shark River)"
260,"The transition to the Younger Dryas coincides with a return to fluvial conditions and a marked change in the pollen record and insect fauna, indicating a decline in the average July temperature from between 18 and 15 ° C to 11 and 10 ° C. Sjoerd Bohncke, Jef Vandenberghe and Rudo Reiling, Vrije Universiteit, lnstituut voor Aardwetenschappen, Postbus 7161, 1007 MC Amsterdam, The Netherlands ; Russell Coope, University of Birmingham, Department of Geological Sciences, P.O. Box 363, Birmingham B15 2TT, United Kingdom ; 15th October, 1985 (revised 14th February, 1986) .","(15 ° C, Aardwetenschappen, Postbus 7161, The Netherlands, United Kingdom)"
261,"- Mean July temperature was 15 ° C 18 ° C - Mean January temperature was -12 ° C 1 ° C These figures do not imply that the mean monthly temperatures range between these figures, but that the actual figure lies somewhere within these limits .","(18 °,)"
262,"doi :10.1016 / j.yqres .2007.07.008 S.C. Fritz et alQuaternary Research 68 (2007) 410420 411 tropical Andes of Columbia (Van der Hammen and Hooghiemstra, 2000 ; Va n't Veer and Hooghiemstra, 2000) and our own previous studies from the Salar de Uyuni, farther south on the Bolivian Altiplano (Baker et al2001a ; Fritz et al2004 -)as well as the long speleothem records from Brazil (Cruz et al2005 ; Wang et al2004) .","(alQuaternary Research 68 (2007, Andes, Hooghiemstra, Brazil)"
263,"Environmental setting Lake Titicaca (16 to 17.50 ° S, 68.5 to 70 ° W ; 3810 m above sea level) occupies a portion of the northern Altiplano, a large internally drained plateau in the highlands of Bolivia and Peru (Fig. 1) .","(17.50 ° S, 68.5 to 70 ° W, Bolivia, Peru)"
264,"412 S.C. Fritz et alQuaternary Research 68 (2007) 410420 exceeds potential evapotranspiration, leading to a positive water balance for most of the Lake Titicaca watershed (Mariaca, 1985) .","(alQuaternary Research 68 (2007,)"
265,"414 S.C. Fritz et alQuaternary Research 68 (2007) 410420 Discussion Core chronology Core lithology Sediments at site LT01-2B (Fig. 2) primarily consist of two alternating lithologic units : unit 1, gray mud that has high MS, no carbonate and commonly has low TOC ; and unit 2, tan to green-gray mud that is laminated or thinly bedded and contains carbonate, high TOC and low MS. The transitions between units 1 and 2 are variable in terms of the sequences of change in MS, TOC and carbonate content .","(alQuaternary Research 68 (2007,)"
266,416 S.C. Fritz et alQuaternary Research 68 (2007) 410420 tuning approach is evident because the resultant chronology yields a nearly constant sediment accumulation rate over the entire core sequence (Fig. 3) and because the age-depth model intersects the zero depth intercept at nearly zero age (350 yr BP) .,"(alQuaternary Research 68 (2007,)"
267,"Also shown are (f) January solar insolation (precession) at 15 ° S (Berger and Loutre, 1991) and (g) global warm and cool periods as indicated by the Vostok ice core CO2 record (Petit et al1999) .","(15 ° S, Loutre)"
268,The only other equally long paleohydrological record from the Southern Hemisphere tropics is from Salar de Uyuni (20 ° S 67 ° W) to the south of Lake Titicaca (Fig. 1) (Baker et al2001a ; Placzek et al2006) .,"(20 ° S 67 ° W,)"
269,"Using 10Be exposure ages and estimating rates of boulder erosion and surface uplift, Smith and co-workers (2005a) tentatively identified four periods of increased glaciation in the Lake Junin basin of Peru (10 ° S -)N 425, 320200, 170125 and 418 S.C. Fritz et alQuaternary Research 68 (2007) 410420 8521 ka .","(Peru, 10 ° S -)N 425, 320200, 170125)"
270,"Exposure dating of Late Glacial and pre-LGM moraines in the Cordillera Dona Rosa, Northern Chile (31 ° S) .","(31 ° S,)"
271,"Location and Description of Sites Basswood Road Lake Basswood Road Lake occupies a small basin in Paleozoic metasedimentary rocks with an area of about 10 acres (4 h -)4.5 miles (7.2 km) northwest of St. Stephen, New Brunswick (45 ' 15 ' 15N. Lat67 ' 19 ' 50W. Long)-","(Paleozoic, St. Stephen, New Brunswick, 45 ' 15 ' 15N.)"
272,"Opera Botanica 12, 18 & 230 .","(18 & 230,)"
273,"Study area The site Dalmutladdo (69 ° 10 ` N, 20 ° 43 ` E) (Fig. 1) is a small lake in a depression within the Betula pubescens ssp .","(69 ° 10 ` N, 20 ° 43 `,)"
274,"The other lake, Barheivatn (69 ° 42 ` N, 19 ° 51 ` E) (Fig. 1 -)is situated just above the present-day tree-line of Betula pubescens ssp .","(19 ° 51 `,)"
275,"Site Barheivatn Dalmutladdo Toskaljavri Tsuolbmajavri Location 69 ° 42 ` N, 19 ° 51 ' E 69 ° 10 ` N, 20 ° 43 ' E 69 ° 12 ` N, 21 ° 28 ' E 68 ° 41 ` N, 22 ° 05 ' E Elevation, m a.s.l. 317 355 704 526 Lake size, ha 11.7 7.2 100.3 14 July tempC 10.7 11.5 9.7 11 January tempC À5 .6 À7 .6 À13 .9 À14 .5 Precipitation, mm/yr 650 430 415 450 northern boreal and low-alpine vegetation zones (Moen 1998) .","(19 ° 51 ' E, 69 ° 10 ` N, 20 ° 43 ' E, 69 ° 12 ` N, 21 ° 28 ', 68 ° 41 `, 22 ° 05 ' E)"
281,"The estimated present-day Pann is 650 mm yrÀ1 Tjul (A. is 10.7 ° C, Tjan Odland, pers .","(10.7 ° C,)"
282,"yr BP Tjul is higher than at present at the four sites, being warmest in the eastern sites, reaching 13 ° C at Tsuolbmajavri and above 12 ° C at Toskaljavri .","(13 ° C,)"
283,"yr BP Tjul decreases below 11 ° C and Sphagnum spores and macrofossils increase, suggesting moister soils and expansion of peatland .","(11 ° C,)"
284,yr BP and with Tjul about 1.52 ° C higher than at present .,"(1.52 ° C,)"
285,"The depth is the depth of the depression where the core was sampled Depth Altitude Site Size (m) (cm) (m a.s.l.) Ground cover Modern forest type Coastal Isle au Haut, north Isle au Haut, south Blackwoods Schoodic Roque Island Inland Big Reed Pond Hollow Buckley Pond Hollow 5 × 15 1 × 1 80 × 40 10 × 30 60 × 15 15 × 40 1 × 2 68 46 179 66 113 56 82 80 70 30 10 20 370 360 Sphagnum, Carex Sphagnum Sphagnum, Carex Sphagnum Sphagnum, Carex Red spruce Red spruce, red maple, pitch pine Red spruce Red spruce, red cedar, ﬁr Red spruce Sphagnum, Carex Spruceﬁr, red cedar, mixed hardwood Sphagnum Spruceﬁr, red cedar, mixed hardwood © 2002 British Ecological Society, Journal of Ecology, 90, 235250 of local processes such as ﬁre and other disturbances (Lindbladh, Bradshaw & Holmqvist 2000) .","(15 × 40 1 ×,)"
286,"Site Descriptions Site name Rock Lake Portage Lake Arrow Lake Dune Lake Deuce Lake Longitude, Latitude, AreaW ° N ha Kenai Peninsula 150 ° 150 60 ° 250 3.0 150 ° 320 60 ° 430 11.6 150 ° 310 60 ° 450 10.5 Interior Alaska 149 ° 540 64 ° 250 12.0 147 ° 310 65 ° 310 3.0 Maximum Depth, m 5.3 15.6 10.1 9.0 5.0 Elevation, m 285 75 90 134 170 ual fires can be distinguished from background charcoal when the number of years represented by each sample is less than the minimal fire-return interval (i.e20 years for boreal forest -LSB- Niklasson and Granstrom, 2000 -RSB-) and when charcoal peaks can be clearly separated from background .","(60 ° 250 3.0, Alaska)"
287,"The moist Kenai Peninsula is characterized by 483 mm of annual precipitation, a mean winter temperature of À15 ° C, and a mean summer temperature of 16 ° C, as recorded at the Kenai climate station (available at http://www.Cdc.noaa.gov/ USclimate) .","(16 ° C,)"
288,"The continental climate near Dune and Deuce Lakes is characterized by 276 mm of annual precipitation, a mean winter temperature of À28 ° C, and a mean summer temperature of 22 ° C, as recorded at the Fairbanks climate station (available at http://www.Cdc.noaa.gov/USclimate) .","(Dune, Deuce Lakes, 22 ° C)"
289,"-LSB- 27 -RSB- In lakes on the Kenai Peninsula, charcoal series records distinct peaks of charcoal accumulation at 1950 ± 2 AD, 1953 ± 3 AD, and 1951 ± 3 AD for Rock, Portage, and Arrow Lakes, respectively (Figure 8) .","(1950 ± 2 AD, 1953 ± 3, Arrow Lakes)"
290,"At Deuce Lake distinct charcoal peaks occur at 1990 ± 2, 1909 ± 8, 1885 ± 20, 1773 ± 20, and 1055 ± 35 AD .","(1990 ± 2, 1909 ± 8, 1885 ± 20, 1773 ± 20,,)"
291,"J. Forest Res31, 430441, 2001 .","(J. Forest Res31, 430441, 2001,)"
293,"Season of death was evaluated from growth-increment (Fisher, 1988) and oxygen-isotope anal - 280 B.G. Hoyle et alQuaternary Research 61 (2004) 277288 yses conducted on a block of dentin from the proximal end of the tusk .","(alQuaternary Research 61 (,)"
294,"Mire Straldza (Southeastern Bulgaria -)Late Holocene vegetation history SPASSIMIREPDB7.Straldza (Bulgaria) TONKOV1, ELISSAVETA BOZILOVA1 & HÖGNE JUNGNER2 1Laboratory of Palynology, Department of Botany, Faculty of Biology, Sofia UniversitySt. Kliment OhridskiSofia, Bulgaria, 2Dating Laboratory, Finnish Museum of Natural History, University of Helsinki, Helsinki, Finland Site details The mire Straldza (42 ° 37 ' 81 ″ N, 26 ° 50 ' 36 ″ E ; 150 m a.s.l.) is situated in southeastern Bulgaria, 15 km westwards from the town of Karnobat in the north-eastern corner of the Tundza hilly plain .","(Bulgaria, Bulgaria, Helsinki, 42 ° 37 ' 81, 26 ° 50 ' 36, Bulgaria, Karnobat)"
296,"To understand the relative inﬂuence of precipitation and temperature on late - and postglacial ecosystem changes in southernmost South America, we compare the vegetation, ﬁre, and climate history from a site at the upper treeline in Tierra del Fuego (Paso Garibaldi, 54 ° 43 ′ S, 76 ° 10 ′ W, c 420 m) with two sites at low elevation (Harberton, 54 ° 54 ′ S, 67 ° 10 ′ W, 20 m ; and Rio Rubens, 52 ° 4 ′ 48 ″ S, 71 ° 31 ′ 12 ″ W, 220 m (Fig. 1)) .","(South America, Tierra del Fuego, 54 °, Harberton)"
297,"At latitudes south of 50 ° S, mean annual precipitation ranges from over 6000 mm in the Chilean archipelago to as high as, or higher than, 10 000 mm in the high Andes to about 600 mm at the eastern forest/steppe ecotone and to less than 200 mm along the eastern Atlantic coast (Tuhkanen et al19891990 ; Tuhkanen, 1992 ; Schneider et al2003) .","(50 ° S, mean, Andes, Atlantic, Tuhkanen)"
298,"According to an analysis of three years of meteorological and radiosonde data from the Ushuaia station, mean annual temperatures at treeline at 600 m in Tierra del Fuego is extrapolated to 2.4 ° C, about 6 ° C in summer and about − 1.5 ° C in winter with an estimated growing season duration of 200 days and about 110 days of temperatures below freezing (Puigdefábregas et al1988) .","(Ushuaia, Tierra del Fuego, 2.4 ° C, 6 ° C)"
300,"At latitudes south of 52 ° S, steppe is represented by tussock grassland, dominated by Festuca gracillima and many other grasses and herbs .","(52 ° S, steppe,)"
301,"Analysis of 3 years of modern meteorological records along a trans-Andean transect at 53 ° S (Schneider et al2003) indicate that differences in precipitation west and east of the Andes are related to atmospheric circulation patterns, leading to opposing moisture conditions .","(53 ° S, Andes)"
302,Fires began to be widespread throughout the southern high latitudes affecting all low-elevation ecosystems (Huber et al2004 -)except for the westernmost high precipitation region north of 52 ° S where ﬁres were absent and Magellanic Moorland developed by 9000 cal yr BP (Puerto Eden : Ashworth et al1991 ; Gran Campo Nevado : Fesq-Martin et al2004) .,"(52 ° S, Puerto Eden, Gran Campo Nevado)"
303,"Establishment of Magellanic Moorland in the high precipitation regions at latitude 55 ° S after 5000 cal yr BP conﬁrms this climate scenario (Heusser, 1995b ; Janssen, 2008) .","(55 ° S, Janssen)"
304,"Chile 23, 3239, 437509 .","(Chile 23, 3239,)"
305,"Tracking abrupt climate change in the Southern Hemisphere : A seismic stratigraphic study of Lago Cardiel, Argentina (49 ° S) .","(Argentina, 49 ° S)"
306,"Seismic stratigraphy, buried beach ridges and contourite drifts : the Late Quaternary history of the closed Lago Cardiel basin, Argentina (49 ° S) .","(Argentina, 49 ° S)"
307,"Mid-Holocene strengthening of the southern westerlies in South Americasedimentological evidences from Lago Cardiel, Argentina (49 ° S) .","(Argentina, 49 ° S)"
